joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.365228,0.631996,1.51172,1.36351,-0.0707701,0.479227,-0.00210921
0.366632,0.632141,1.51066,1.36297,-0.0710674,0.478926,-0.00189559
0.368026,0.632288,1.5096,1.36244,-0.0713634,0.478629,-0.00168302
0.369412,0.632434,1.50856,1.3619,-0.0716582,0.478334,-0.0014714
0.370793,0.632582,1.50752,1.36137,-0.0719521,0.478041,-0.00126044
0.371196,0.632625,1.50721,1.36122,-0.072038,0.477956,-0.00119877
0.371196,0.632625,1.50721,1.36122,-0.072038,0.477956,-0.00119877
0.372574,0.632772,1.50617,1.36069,-0.0723316,0.477664,-0.000988137
0.373947,0.632919,1.50514,1.36016,-0.0726243,0.477374,-0.000778105
0.37531,0.633067,1.50411,1.35963,-0.0729158,0.477087,-0.000569041
0.376664,0.633216,1.50309,1.3591,-0.073206,0.476804,-0.000361062
0.37801,0.633365,1.50207,1.35858,-0.0734948,0.476524,-0.000154051
0.379351,0.633514,1.50106,1.35806,-0.0737829,0.476245,5.23384e-05
0.379505,0.633531,1.50095,1.358,-0.0738159,0.476213,7.59514e-05
0.379505,0.633531,1.50095,1.358,-0.0738159,0.476213,7.59514e-05
0.380843,0.63368,1.49994,1.35747,-0.0741036,0.475935,0.000282071
0.382176,0.63383,1.49894,1.35695,-0.0743905,0.475658,0.000487549
0.383501,0.63398,1.49794,1.35643,-0.0746761,0.475385,0.000692005
0.384816,0.63413,1.49695,1.35592,-0.0749603,0.475115,0.000895337
0.386123,0.634281,1.49597,1.3554,-0.0752432,0.474848,0.0010977
0.387349,0.634422,1.49504,1.35491,-0.0755087,0.474597,0.00128764
0.387349,0.634422,1.49504,1.35491,-0.0755087,0.474597,0.00128764
0.388649,0.634573,1.49407,1.3544,-0.0757906,0.474332,0.0014892
0.389944,0.634724,1.49309,1.35389,-0.0760716,0.474069,0.00169009
0.39123,0.634875,1.49213,1.35338,-0.0763512,0.473808,0.0018899
0.392507,0.635027,1.49117,1.35287,-0.0766293,0.473551,0.00208856
0.393776,0.635178,1.49021,1.35236,-0.0769062,0.473296,0.00228626
0.394754,0.635295,1.48948,1.35197,-0.0771196,0.473099,0.00243864
0.394754,0.635295,1.48948,1.35197,-0.0771196,0.473099,0.00243864
0.396018,0.635447,1.48853,1.35146,-0.0773956,0.472846,0.00263564
0.397276,0.635599,1.48758,1.35096,-0.0776706,0.472595,0.00283192
0.398525,0.635751,1.48665,1.35045,-0.0779442,0.472346,0.00302707
0.399764,0.635903,1.48572,1.34995,-0.0782162,0.4721,0.00322105
0.400997,0.636055,1.48479,1.34946,-0.078487,0.471857,0.00341408
0.401745,0.636148,1.48423,1.34915,-0.0786515,0.471709,0.00353137
0.401745,0.636148,1.48423,1.34915,-0.0786515,0.471709,0.00353137
0.402973,0.6363,1.48331,1.34865,-0.0789215,0.471467,0.0037238
0.404195,0.636452,1.48239,1.34816,-0.0791906,0.471227,0.00391546
0.405408,0.636605,1.48148,1.34766,-0.0794581,0.47099,0.00410597
0.406611,0.636757,1.48058,1.34717,-0.079724,0.470755,0.00429527
0.407808,0.63691,1.47968,1.34668,-0.0799887,0.470523,0.00448366
0.408345,0.636978,1.47928,1.34646,-0.0801076,0.470419,0.00456824
0.408345,0.636978,1.47928,1.34646,-0.0801076,0.470419,0.00456824
0.409538,0.63713,1.47839,1.34597,-0.0803716,0.470187,0.0047561
0.410725,0.637283,1.4775,1.34549,-0.0806346,0.469958,0.00494317
0.411903,0.637435,1.47662,1.345,-0.080896,0.469731,0.00512905
0.413071,0.637587,1.47574,1.34452,-0.0811559,0.469507,0.0053137
0.414233,0.637739,1.47487,1.34404,-0.0814146,0.469285,0.00549749
0.414576,0.637784,1.47462,1.3439,-0.0814908,0.469219,0.00555164
0.414576,0.637784,1.47462,1.3439,-0.0814908,0.469219,0.00555164
0.415735,0.637936,1.47375,1.34342,-0.0817489,0.468998,0.00573497
0.416888,0.638088,1.47289,1.34294,-0.0820059,0.468779,0.00591748
0.418031,0.63824,1.47203,1.34246,-0.0822612,0.468562,0.00609875
0.419166,0.638392,1.47118,1.34199,-0.082515,0.468348,0.0062788
0.420295,0.638544,1.47034,1.34152,-0.0827677,0.468135,0.00645802
0.420458,0.638566,1.47022,1.34145,-0.0828042,0.468105,0.00648394
0.420458,0.638566,1.47022,1.34145,-0.0828042,0.468105,0.00648394
0.421584,0.638717,1.46938,1.34098,-0.0830564,0.467893,0.00666279
0.422703,0.638869,1.46854,1.34051,-0.0833074,0.467683,0.00684077
0.423814,0.63902,1.46771,1.34005,-0.0835568,0.467475,0.00701748
0.424916,0.639171,1.46689,1.33958,-0.0838045,0.467271,0.00719298
0.426011,0.639321,1.46607,1.33912,-0.0840509,0.467067,0.00736749
0.426011,0.639321,1.46607,1.33912,-0.0840509,0.467067,0.00736749
0.427105,0.639472,1.46525,1.33866,-0.0842972,0.466865,0.00754189
0.428192,0.639623,1.46444,1.3382,-0.0845423,0.466664,0.0077154
0.42927,0.639773,1.46364,1.33774,-0.0847857,0.466465,0.00788761
0.43034,0.639923,1.46284,1.33729,-0.0850274,0.466269,0.00805861
0.431253,0.640051,1.46216,1.3369,-0.0852338,0.466102,0.00820456
0.431253,0.640051,1.46216,1.3369,-0.0852338,0.466102,0.00820456
0.432316,0.640201,1.46137,1.33645,-0.0854743,0.465908,0.00837457
0.433372,0.64035,1.46058,1.336,-0.0857135,0.465715,0.00854366
0.434419,0.640499,1.4598,1.33555,-0.0859509,0.465525,0.00871143
0.435458,0.640648,1.45902,1.3351,-0.0861868,0.465337,0.008878
0.436202,0.640755,1.45847,1.33478,-0.0863558,0.465203,0.00899736
0.436202,0.640755,1.45847,1.33478,-0.0863558,0.465203,0.00899736
0.437235,0.640903,1.4577,1.33434,-0.0865905,0.465016,0.00916305
0.43826,0.641051,1.45694,1.3339,-0.0868239,0.464832,0.00932778
0.439277,0.641198,1.45618,1.33346,-0.0870555,0.46465,0.00949118
0.440286,0.641345,1.45543,1.33302,-0.0872855,0.46447,0.0096534
